message_id,message,verdict,scam_type,risk_level,evidence,requested_action,language,category,confidence,source,contains_url,contains_phone,asks_for_otp,asks_for_upi_pin,asks_for_money,impersonates_authority,urgency,processed_message
IND-02661,UPI payment of ₹850 to XYZ Store was successful. Transaction reference TXN872319. Please verify through the official app.,legit,NONE,LOW,Normal transactional/personal communication; no malicious request,NONE,ENGLISH,UPI,0.94,public_dataset_derived,0,0,0,0,1,0,LOW,upi payment of ₹850 to xyz store was successful. transaction reference txn872319. please verify through the official app.
IND-01735,"Mummy, train mein baith gaya hoon. Safely pahunch jaunga. Check the official portal for details.",legit,NONE,LOW,Normal transactional/personal communication; no malicious request,NONE,HINGLISH,Family,0.94,public_dataset_derived,0,0,0,0,0,1,LOW,"mummy, train mein baith gaya hoon. safely pahunch jaunga. check the official portal for details."
IND-00932,FedEx parcel alert: your package cannot be delivered until ₹799 is paid. Pay now to avoid return.,scam,COURIER_FRAUD,HIGH,Unexpected parcel/customs fee; payment request or link,PAY_FEE,ENGLISH,Courier,0.98,synthetic_augmented,0,0,0,0,1,0,CRITICAL,fedex parcel alert: your package cannot be delivered until ₹799 is paid. pay now to avoid return.
IND-03044,Mujhe ye message aaya: Someone claiming to be police contacted me on WhatsApp and demanded money. I am checking whether it is legitimate.,suspicious,POLICE_IMPERSONATION,MEDIUM,"Potential fraud indicators present, but authenticity is not established",VERIFY_BEFORE_ACTION,HINGLISH,UNVERIFIED_COMMUNICATION,0.86,synthetic_augmented,0,0,0,0,0,1,MEDIUM,mujhe ye message aaya: someone claiming to be police contacted me on whatsapp and demanded money. i am checking whether it is legitimate.
IND-02925,"Your OTP is 482913. Do not share this OTP with anyone. If you did not request it, contact your bank through the official app. Please verify through the official app.",legit,NONE,LOW,Normal transactional/personal communication; no malicious request,NONE,ENGLISH,Banking,0.9,public_dataset_derived,0,0,1,0,0,1,LOW,"your otp is 482913. do not share this otp with anyone. if you did not request it, contact your bank through the official app. please verify through the official app."
IND-01096,This is the bank security department. Your account has suspicious activity. Confirm OTP and card details now.,scam,BANK_IMPERSONATION,HIGH,Claims to be bank/security team; asks for sensitive information,VERIFY_BANK,ENGLISH,Banking,0.97,public_dataset_derived,0,0,1,0,0,1,HIGH,this is the bank security department. your account has suspicious activity. confirm otp and card details now.
IND-03087,A message says my social media account will close and gives an unfamiliar login link. I haven't clicked it.,suspicious,ACCOUNT_TAKEOVER,MEDIUM,"Potential fraud indicators present, but authenticity is not established",VERIFY_BEFORE_ACTION,ENGLISH,UNVERIFIED_COMMUNICATION,0.85,synthetic_augmented,0,0,0,0,0,0,MEDIUM,a message says my social media account will close and gives an unfamiliar login link. i haven't clicked it.
IND-01421,"Madam, Instant personal loan approved without CIBIL check. Pay ₹1,499 processing fee before disbursement.",scam,LOAN_SCAM,HIGH,Loan promise with advance processing fee,PAY_FEE,HINGLISH,Loans,0.9,synthetic_augmented,0,0,0,0,1,0,HIGH,"madam, instant personal loan approved without cibil check. pay ₹1,499 processing fee before disbursement."
IND-00299,"Kripya dhyan dein: Refund pending. To receive ₹1,499, enter your UPI PIN on the link http://refund-check.example.",scam,UPI_FRAUD,HIGH,Requests UPI PIN/payment; urgency,PAY_OR_SHARE_UPI,HINDI_ROMAN,UPI,0.97,synthetic_augmented,1,0,0,1,1,0,CRITICAL,"kripya dhyan dein: refund pending. to receive ₹1,499, enter your upi pin on the link URLTOKEN"
IND-02842,"Transaction alert: ₹2,450 was debited from your account. If you did not make this transaction, use the official bank app to report it. Check the official portal for details.",legit,NONE,LOW,Normal transactional/personal communication; no malicious request,NONE,ENGLISH,Banking,0.91,public_dataset_derived,0,0,0,0,1,1,LOW,"transaction alert: ₹2,450 was debited from your account. if you did not make this transaction, use the official bank app to report it. check the official portal for details."
IND-02882,"For Aadhaar services, use the official UIDAI website or authorised centre. Never share OTP with anyone. Please verify through the official app.",legit,NONE,LOW,Normal transactional/personal communication; no malicious request,NONE,ENGLISH,Aadhaar,0.91,public_dataset_derived,0,0,1,0,0,1,LOW,"for aadhaar services, use the official uidai website or authorised centre. never share otp with anyone. please verify through the official app."
IND-01243,Bahut zaroori hai: HR department: your job is approved. Pay the refundable training fee today to receive your offer letter.,scam,JOB_SCAM,HIGH,Job offer requires upfront payment or sensitive documents,PAY_FEE,HINDI_ROMAN,Employment,0.88,synthetic_augmented,0,0,0,0,1,1,HIGH,bahut zaroori hai: hr department: your job is approved. pay the refundable training fee today to receive your offer letter.
IND-04810,"Sabko forward karein: No income tax return is required for anyone earning below a certain salary, regardless of other income.",misinformation,NONE,MEDIUM,Unverified or misleading claim; forwarding pressure or implausible assertion,VERIFY_SOURCE,HINDI_ROMAN,MISINFORMATION,0.86,synthetic_augmented,0,0,0,0,0,1,HIGH,"sabko forward karein: no income tax return is required for anyone earning below a certain salary, regardless of other income."
IND-01191,Turant check karein: Emergency donation appeal: transfer ₹500 now to help a hospital patient. Please forward to 10 groups.,scam,CHARITY_SCAM,MEDIUM,Urgent donation request with unverifiable details,DONATE,HINDI_ROMAN,Charity,0.89,synthetic_augmented,0,0,0,0,1,0,HIGH,turant check karein: emergency donation appeal: transfer ₹500 now to help a hospital patient. please forward to 10 groups.
IND-03480,"Bhai, Someone claiming to be police contacted me on WhatsApp and demanded money. I am checking whether it is legitimate.",suspicious,POLICE_IMPERSONATION,MEDIUM,"Potential fraud indicators present, but authenticity is not established",VERIFY_BEFORE_ACTION,HINGLISH,UNVERIFIED_COMMUNICATION,0.71,synthetic_augmented,0,0,0,0,0,1,MEDIUM,"bhai, someone claiming to be police contacted me on whatsapp and demanded money. i am checking whether it is legitimate."
IND-00002,Turant check karein: Railway recruitment selected you for the next round. Pay ₹499 document verification fee today.,scam,RECRUITMENT_SCAM,HIGH,Fake recruitment with registration fee,PAY_FEE,HINDI_ROMAN,Employment,0.96,synthetic_augmented,0,0,0,0,1,0,CRITICAL,turant check karein: railway recruitment selected you for the next round. pay ₹499 document verification fee today.
IND-02967,"Bhai tera parcel aa gaya hai, main reception pe rakh raha hoon.",legit,NONE,LOW,Normal transactional/personal communication; no malicious request,NONE,HINGLISH,Delivery,0.97,public_dataset_derived,0,0,0,0,0,0,LOW,"bhai tera parcel aa gaya hai, main reception pe rakh raha hoon."
IND-02133,Aapka OTP 456789 hai. Kisi ke saath share mat karna. Please verify through the official app.,legit,NONE,LOW,Normal transactional/personal communication; no malicious request,NONE,HINGLISH,Banking,0.96,public_dataset_derived,0,0,1,0,0,0,LOW,aapka otp 456789 hai. kisi ke saath share mat karna. please verify through the official app.
IND-03351,"Guys, A message says my social media account will close and gives an unfamiliar login link. I haven't clicked it.",suspicious,ACCOUNT_TAKEOVER,MEDIUM,"Potential fraud indicators present, but authenticity is not established",VERIFY_BEFORE_ACTION,HINGLISH,UNVERIFIED_COMMUNICATION,0.83,synthetic_augmented,0,0,0,0,0,0,MEDIUM,"guys, a message says my social media account will close and gives an unfamiliar login link. i haven't clicked it."
IND-02163,Aapka OTP 456789 hai. Kisi ke saath share mat karna.,legit,NONE,LOW,Normal transactional/personal communication; no malicious request,NONE,HINGLISH,Banking,0.96,public_dataset_derived,0,0,1,0,0,0,LOW,aapka otp 456789 hai. kisi ke saath share mat karna.
IND-02633,"Security reminder: bank staff will never ask for your OTP, UPI PIN, CVV or password. Please verify through the official app.",legit,NONE,LOW,Normal transactional/personal communication; no malicious request,NONE,ENGLISH,Banking,0.94,public_dataset_derived,0,0,1,1,0,1,LOW,"security reminder: bank staff will never ask for your otp , upi pin, cvv or password. please verify through the official app."
IND-01858,"Mummy, train mein baith gaya hoon. Safely pahunch jaunga. Please verify through the official app.",legit,NONE,LOW,Normal transactional/personal communication; no malicious request,NONE,HINGLISH,Family,0.96,public_dataset_derived,0,0,0,0,0,1,LOW,"mummy, train mein baith gaya hoon. safely pahunch jaunga. please verify through the official app."
IND-00666,"Urgent hai: CBI officer here. A money laundering case is registered against your Aadhaar. Transfer ₹20,000 for verification.",scam,POLICE_IMPERSONATION,CRITICAL,Threat of arrest/case; demands money,PAY_OR_TRANSFER,HINGLISH,Law enforcement,0.97,synthetic_augmented,0,0,0,0,1,1,HIGH,"urgent hai: cbi officer here. a money laundering case is registered against your aadhaar. transfer ₹20,000 for verification."
IND-00650,Bahut zaroori hai: Click http://secure-login.example to prevent your WhatsApp account from being disabled.,scam,PHISHING,HIGH,Suspicious link requesting credentials/payment,CLICK_LINK,HINDI_ROMAN,Phishing,0.96,synthetic_augmented,1,0,0,0,0,0,CRITICAL,bahut zaroori hai: click URLTOKEN to prevent your whatsapp account from being disabled.
IND-00015,Your bank KYC is incomplete. Account will be blocked today. Share OTP to complete verification.,scam,KYC_FRAUD,HIGH,OTP request; KYC/account threat; urgency,SHARE_OTP,ENGLISH,KYC / Banking,0.97,synthetic_augmented,0,0,1,0,0,1,HIGH,your bank kyc is incomplete. account will be blocked today. share otp to complete verification.
IND-03286,Mujhe ek message mila hai: A forwarded donation request asks for money but gives no verifiable organisation details.,suspicious,CHARITY_SCAM,MEDIUM,"Potential fraud indicators present, but authenticity is not established",VERIFY_BEFORE_ACTION,HINDI_ROMAN,UNVERIFIED_COMMUNICATION,0.87,synthetic_augmented,0,0,0,0,0,0,HIGH,mujhe ek message mila hai: a forwarded donation request asks for money but gives no verifiable organisation details.
IND-03477,Mujhe ye message aaya: I received a message saying I have an income-tax refund and it contains a link. I haven't checked the official portal.,suspicious,TAX_REFUND_SCAM,MEDIUM,"Potential fraud indicators present, but authenticity is not established",VERIFY_BEFORE_ACTION,HINGLISH,UNVERIFIED_COMMUNICATION,0.75,synthetic_augmented,0,0,0,0,0,0,MEDIUM,mujhe ye message aaya: i received a message saying i have an income-tax refund and it contains a link. i haven't checked the official portal.
IND-03076,Kripya check karein: This message says I won a shopping voucher but asks me to pay a small fee first. Has anyone verified it?,suspicious,LOTTERY_SCAM,MEDIUM,"Potential fraud indicators present, but authenticity is not established",VERIFY_BEFORE_ACTION,HINDI_ROMAN,UNVERIFIED_COMMUNICATION,0.75,synthetic_augmented,0,0,0,0,1,0,MEDIUM,kripya check karein: this message says i won a shopping voucher but asks me to pay a small fee first. has anyone verified it?
IND-00772,Turant check karein: Your bank KYC is incomplete. Account will be blocked today. Share OTP to complete verification.,scam,KYC_FRAUD,HIGH,OTP request; KYC/account threat; urgency,SHARE_OTP,HINDI_ROMAN,KYC / Banking,0.9,synthetic_augmented,0,0,1,0,0,1,CRITICAL,turant check karein: your bank kyc is incomplete. account will be blocked today. share otp to complete verification.
IND-00591,"Sir, Bank security: an unusual transaction was detected. Share the OTP you receive to cancel it immediately.",scam,OTP_THEFT,HIGH,Requests one-time password; suspicious verification,SHARE_OTP,HINGLISH,Banking,0.94,public_dataset_derived,0,0,1,0,0,1,CRITICAL,"sir, bank security: an unusual transaction was detected. share the otp you receive to cancel it immediately."
IND-04283,Bahut important khabar: All college exams are permanently cancelled this semester. Forward to every student.,misinformation,NONE,MEDIUM,Unverified or misleading claim; forwarding pressure or implausible assertion,VERIFY_SOURCE,HINDI_ROMAN,MISINFORMATION,0.89,synthetic_augmented,0,0,0,0,0,0,MEDIUM,bahut important khabar: all college exams are permanently cancelled this semester. forward to every student.
IND-03603,This message says I won a shopping voucher but asks me to pay a small fee first. Has anyone verified it?,suspicious,LOTTERY_SCAM,MEDIUM,"Potential fraud indicators present, but authenticity is not established",VERIFY_BEFORE_ACTION,ENGLISH,UNVERIFIED_COMMUNICATION,0.72,synthetic_augmented,0,0,0,0,1,0,HIGH,this message says i won a shopping voucher but asks me to pay a small fee first. has anyone verified it?
IND-04131,"Bhai sabko bhejo: No income tax return is required for anyone earning below a certain salary, regardless of other income.",misinformation,NONE,MEDIUM,Unverified or misleading claim; forwarding pressure or implausible assertion,VERIFY_SOURCE,HINGLISH,MISINFORMATION,0.79,synthetic_augmented,0,0,0,0,0,1,HIGH,"bhai sabko bhejo: no income tax return is required for anyone earning below a certain salary, regardless of other income."
IND-03473,"Guys, A caller claiming to be from my bank asked for an OTP to cancel a transaction. I did not share it.",suspicious,BANK_IMPERSONATION,MEDIUM,"Potential fraud indicators present, but authenticity is not established",VERIFY_BEFORE_ACTION,HINGLISH,UNVERIFIED_COMMUNICATION,0.86,synthetic_augmented,0,0,1,0,0,1,HIGH,"guys, a caller claiming to be from my bank asked for an otp to cancel a transaction. i did not share it."
IND-03347,Mujhe ek message mila hai: A message says my social media account will close and gives an unfamiliar login link. I haven't clicked it.,suspicious,ACCOUNT_TAKEOVER,MEDIUM,"Potential fraud indicators present, but authenticity is not established",VERIFY_BEFORE_ACTION,HINDI_ROMAN,UNVERIFIED_COMMUNICATION,0.83,synthetic_augmented,0,0,0,0,0,0,HIGH,mujhe ek message mila hai: a message says my social media account will close and gives an unfamiliar login link. i haven't clicked it.
IND-00276,"Please dhyan do, Part-time job available: earn ₹5,000 daily. Send ₹499 security deposit and Aadhaar copy to start.",scam,JOB_SCAM,HIGH,Job offer requires upfront payment or sensitive documents,PAY_FEE,HINGLISH,Employment,0.92,synthetic_augmented,0,0,0,0,1,1,HIGH,"please dhyan do, part-time job available: earn ₹5,000 daily. send ₹499 security deposit and aadhaar copy to start."
IND-00568,Bahut zaroori hai: Your Aadhaar is linked to a criminal investigation. Do not disconnect. Pay the security deposit immediately.,scam,DIGITAL_ARREST,CRITICAL,Authority impersonation; intimidation; payment demand,PAY_OR_TRANSFER,HINDI_ROMAN,Law enforcement,0.98,synthetic_augmented,0,0,0,0,1,1,CRITICAL,bahut zaroori hai: your aadhaar is linked to a criminal investigation. do not disconnect. pay the security deposit immediately.
IND-01253,"Kripya dhyan dein: Your refund is ready. Enter card number, CVV and OTP at http://refund-portal.example.",scam,PHISHING,HIGH,Suspicious link requesting credentials/payment,CLICK_LINK,HINDI_ROMAN,Phishing,0.95,synthetic_augmented,1,0,1,0,0,0,HIGH,"kripya dhyan dein: your refund is ready. enter card number, cvv and otp at URLTOKEN"
IND-01621,"Your interview is scheduled for Monday at 11 AM. Please use the employer's official recruitment portal for details. For security, never share OTP.",legit,NONE,LOW,Normal transactional/personal communication; no malicious request,NONE,ENGLISH,Employment,0.91,public_dataset_derived,0,0,1,0,0,0,LOW,"your interview is scheduled for monday at 11 am. please use the employer's official recruitment portal for details. for security, never share otp ."
IND-01839,Aadhaar update ke liye nearest authorised centre ya official UIDAI portal use karein. Check the official portal for details.,legit,NONE,LOW,Normal transactional/personal communication; no malicious request,NONE,HINGLISH,Government,0.95,public_dataset_derived,0,0,0,0,0,1,LOW,aadhaar update ke liye nearest authorised centre ya official uidai portal use karein. check the official portal for details.
IND-04129,Sabko forward karein: All domestic flights are free for senior citizens this weekend. No booking is required.,misinformation,NONE,MEDIUM,Unverified or misleading claim; forwarding pressure or implausible assertion,VERIFY_SOURCE,HINDI_ROMAN,MISINFORMATION,0.86,synthetic_augmented,0,0,0,0,0,0,MEDIUM,sabko forward karein: all domestic flights are free for senior citizens this weekend. no booking is required.
IND-01872,"Security reminder: bank staff will never ask for your OTP, UPI PIN, CVV or password.",legit,NONE,LOW,Normal transactional/personal communication; no malicious request,NONE,ENGLISH,Banking,0.96,public_dataset_derived,0,0,1,1,0,1,LOW,"security reminder: bank staff will never ask for your otp , upi pin, cvv or password."
IND-03791,"Bhai, A forwarded donation request asks for money but gives no verifiable organisation details.",suspicious,CHARITY_SCAM,MEDIUM,"Potential fraud indicators present, but authenticity is not established",VERIFY_BEFORE_ACTION,HINGLISH,UNVERIFIED_COMMUNICATION,0.81,synthetic_augmented,0,0,0,0,0,0,HIGH,"bhai, a forwarded donation request asks for money but gives no verifiable organisation details."
IND-00389,"Government scholarship of ₹25,000 approved. Pay ₹299 verification fee to receive it.",scam,SCHOLARSHIP_SCAM,HIGH,Scholarship claim requires fee/bank details,PAY_FEE,ENGLISH,Education,0.89,synthetic_augmented,0,0,0,0,1,1,HIGH,"government scholarship of ₹25,000 approved. pay ₹299 verification fee to receive it."
IND-04817,Guys please forward: From tomorrow all UPI transactions will have a mandatory 50% government tax. Forward this urgently.,misinformation,NONE,MEDIUM,Unverified or misleading claim; forwarding pressure or implausible assertion,VERIFY_SOURCE,HINGLISH,MISINFORMATION,0.93,synthetic_augmented,0,0,0,0,0,1,HIGH,guys please forward: from tomorrow all upi transactions will have a mandatory 50% government tax. forward this urgently.
IND-00270,Turant check karein: This is the bank security department. Your account has suspicious activity. Confirm OTP and card details now.,scam,BANK_IMPERSONATION,HIGH,Claims to be bank/security team; asks for sensitive information,VERIFY_BANK,HINDI_ROMAN,Banking,0.98,public_dataset_derived,0,0,1,0,0,1,HIGH,turant check karein: this is the bank security department. your account has suspicious activity. confirm otp and card details now.
IND-03281,Mujhe ye message aaya: A parcel-fee message came from an unknown number and asks for ₹499 through a link. Is it genuine?,suspicious,COURIER_FRAUD,MEDIUM,"Potential fraud indicators present, but authenticity is not established",VERIFY_BEFORE_ACTION,HINGLISH,UNVERIFIED_COMMUNICATION,0.72,synthetic_augmented,0,0,0,0,1,0,HIGH,mujhe ye message aaya: a parcel-fee message came from an unknown number and asks for ₹499 through a link. is it genuine?
IND-04422,Sabko forward karein: The government has announced 5 lakh permanent jobs for anyone who forwards this message.,misinformation,NONE,MEDIUM,Unverified or misleading claim; forwarding pressure or implausible assertion,VERIFY_SOURCE,HINDI_ROMAN,MISINFORMATION,0.92,synthetic_augmented,0,0,0,0,0,1,MEDIUM,sabko forward karein: the government has announced 5 lakh permanent jobs for anyone who forwards this message.
IND-01448,Turant check karein: Work from home recruitment: pay ₹299 onboarding charges and start earning immediately.,scam,RECRUITMENT_SCAM,HIGH,Fake recruitment with registration fee,PAY_FEE,HINDI_ROMAN,Employment,0.98,public_dataset_derived,0,0,0,0,1,0,HIGH,turant check karein: work from home recruitment: pay ₹299 onboarding charges and start earning immediately.
IND-01177,Work from home recruitment: pay ₹299 onboarding charges and start earning immediately.,scam,RECRUITMENT_SCAM,HIGH,Fake recruitment with registration fee,PAY_FEE,ENGLISH,Employment,0.91,public_dataset_derived,0,0,0,0,1,0,HIGH,work from home recruitment: pay ₹299 onboarding charges and start earning immediately.
IND-04925,Guys please forward: Drinking hot water with turmeric completely prevents viral infections. Share with everyone.,misinformation,NONE,MEDIUM,Unverified or misleading claim; forwarding pressure or implausible assertion,VERIFY_SOURCE,HINGLISH,MISINFORMATION,0.94,synthetic_augmented,0,0,0,0,0,0,MEDIUM,guys please forward: drinking hot water with turmeric completely prevents viral infections. share with everyone.
IND-04892,Bahut important khabar: Drinking hot water with turmeric completely prevents viral infections. Share with everyone.,misinformation,NONE,MEDIUM,Unverified or misleading claim; forwarding pressure or implausible assertion,VERIFY_SOURCE,HINDI_ROMAN,MISINFORMATION,0.81,synthetic_augmented,0,0,0,0,0,0,HIGH,bahut important khabar: drinking hot water with turmeric completely prevents viral infections. share with everyone.
IND-02122,"Reminder: check your income-tax filing status through the official government tax portal. For security, never share OTP.",legit,NONE,LOW,Normal transactional/personal communication; no malicious request,NONE,ENGLISH,Tax,0.93,public_dataset_derived,0,0,1,0,0,1,LOW,"reminder: check your income-tax filing status through the official government tax portal. for security, never share otp ."
IND-00095,"Crypto investment group: deposit ₹2,500 now and receive guaranteed returns within 48 hours.",scam,INVESTMENT_SCAM,HIGH,Guaranteed/high returns; asks for transfer,TRANSFER_MONEY,ENGLISH,Investment,0.9,public_dataset_derived,0,0,0,0,1,0,HIGH,"crypto investment group: deposit ₹2,500 now and receive guaranteed returns within 48 hours."
IND-00254,Your parcel is held at customs. Pay ₹499 clearance charges immediately at http://parcel-fee.example.,scam,COURIER_FRAUD,HIGH,Unexpected parcel/customs fee; payment request or link,PAY_FEE,ENGLISH,Courier,0.89,synthetic_augmented,1,0,0,0,1,1,HIGH,your parcel is held at customs. pay ₹499 clearance charges immediately at URLTOKEN
IND-00631,"Kripya dhyan dein: Guaranteed 3X return in 7 days. Transfer ₹10,000 to our UPI account and our expert will trade for you.",scam,INVESTMENT_SCAM,HIGH,Guaranteed/high returns; asks for transfer,TRANSFER_MONEY,HINDI_ROMAN,Investment,0.91,synthetic_augmented,0,0,0,0,1,0,HIGH,"kripya dhyan dein: guaranteed 3x return in 7 days. transfer ₹10,000 to our upi account and our expert will trade for you."
IND-03075,Someone says my KYC will expire today and wants my documents on WhatsApp. I have not verified the sender.,suspicious,KYC_FRAUD,MEDIUM,"Potential fraud indicators present, but authenticity is not established",VERIFY_BEFORE_ACTION,ENGLISH,UNVERIFIED_COMMUNICATION,0.87,synthetic_augmented,0,0,0,0,0,1,MEDIUM,someone says my kyc will expire today and wants my documents on whatsapp. i have not verified the sender.
IND-03717,Mujhe ye message aaya: A caller claiming to be from my bank asked for an OTP to cancel a transaction. I did not share it.,suspicious,BANK_IMPERSONATION,MEDIUM,"Potential fraud indicators present, but authenticity is not established",VERIFY_BEFORE_ACTION,HINGLISH,UNVERIFIED_COMMUNICATION,0.83,synthetic_augmented,0,0,1,0,0,1,HIGH,mujhe ye message aaya: a caller claiming to be from my bank asked for an otp to cancel a transaction. i did not share it.
IND-00582,"Sir, Emergency donation appeal: transfer ₹500 now to help a hospital patient. Please forward to 10 groups.",scam,CHARITY_SCAM,MEDIUM,Urgent donation request with unverifiable details,DONATE,HINGLISH,Charity,0.97,synthetic_augmented,0,0,0,0,1,0,CRITICAL,"sir, emergency donation appeal: transfer ₹500 now to help a hospital patient. please forward to 10 groups."
IND-00567,Railway recruitment selected you for the next round. Pay ₹499 document verification fee today.,scam,RECRUITMENT_SCAM,HIGH,Fake recruitment with registration fee,PAY_FEE,ENGLISH,Employment,0.95,synthetic_augmented,0,0,0,0,1,0,HIGH,railway recruitment selected you for the next round. pay ₹499 document verification fee today.
IND-02520,"Your OTP is 482913. Do not share this OTP with anyone. If you did not request it, contact your bank through the official app. Check the official portal for details.",legit,NONE,LOW,Normal transactional/personal communication; no malicious request,NONE,ENGLISH,Banking,0.91,public_dataset_derived,0,0,1,0,0,1,LOW,"your otp is 482913. do not share this otp with anyone. if you did not request it, contact your bank through the official app. check the official portal for details."
IND-00636,"Sir, Guaranteed 3X return in 7 days. Transfer ₹10,000 to our UPI account and our expert will trade for you.",scam,INVESTMENT_SCAM,HIGH,Guaranteed/high returns; asks for transfer,TRANSFER_MONEY,HINGLISH,Investment,0.9,synthetic_augmented,0,0,0,0,1,0,CRITICAL,"sir, guaranteed 3x return in 7 days. transfer ₹10,000 to our upi account and our expert will trade for you."
IND-01277,"Turant check karein: Police video verification required. Stay on the call and transfer ₹25,000 to prove your account is clean.",scam,DIGITAL_ARREST,CRITICAL,Authority impersonation; intimidation; payment demand,PAY_OR_TRANSFER,HINDI_ROMAN,Law enforcement,0.98,public_dataset_derived,0,0,0,0,1,1,CRITICAL,"turant check karein: police video verification required. stay on the call and transfer ₹25,000 to prove your account is clean."
IND-04547,Bhai sabko bhejo: The government has announced 5 lakh permanent jobs for anyone who forwards this message.,misinformation,NONE,MEDIUM,Unverified or misleading claim; forwarding pressure or implausible assertion,VERIFY_SOURCE,HINGLISH,MISINFORMATION,0.85,synthetic_augmented,0,0,0,0,0,1,MEDIUM,bhai sabko bhejo: the government has announced 5 lakh permanent jobs for anyone who forwards this message.
IND-03073,Mujhe ye message aaya: A message says my social media account will close and gives an unfamiliar login link. I haven't clicked it.,suspicious,ACCOUNT_TAKEOVER,MEDIUM,"Potential fraud indicators present, but authenticity is not established",VERIFY_BEFORE_ACTION,HINGLISH,UNVERIFIED_COMMUNICATION,0.9,synthetic_augmented,0,0,0,0,0,0,MEDIUM,mujhe ye message aaya: a message says my social media account will close and gives an unfamiliar login link. i haven't clicked it.
IND-02355,Your parcel has been shipped and is expected to arrive tomorrow. Track it using the courier company's official application.,legit,NONE,LOW,Normal transactional/personal communication; no malicious request,NONE,ENGLISH,Courier,0.91,public_dataset_derived,0,0,0,0,0,0,LOW,your parcel has been shipped and is expected to arrive tomorrow. track it using the courier company's official application.
IND-01220,"Sir, FASTag verification pending. Send vehicle RC and OTP to activate your account.",scam,FASTAG_SCAM,HIGH,KYC/recharge/blacklist threat plus payment/link,PAY_OR_UPDATE,HINGLISH,Transport,0.94,public_dataset_derived,0,0,1,0,0,0,CRITICAL,"sir, fastag verification pending. send vehicle rc and otp to activate your account."
IND-04871,Sabko forward karein: IRCTC is giving free train tickets to anyone who registers through this forwarded WhatsApp form.,misinformation,NONE,MEDIUM,Unverified or misleading claim; forwarding pressure or implausible assertion,VERIFY_SOURCE,HINDI_ROMAN,MISINFORMATION,0.76,synthetic_augmented,0,0,0,0,0,1,HIGH,sabko forward karein: irctc is giving free train tickets to anyone who registers through this forwarded whatsapp form.
IND-01376,"Please dhyan do, Instant personal loan approved without CIBIL check. Pay ₹1,499 processing fee before disbursement.",scam,LOAN_SCAM,HIGH,Loan promise with advance processing fee,PAY_FEE,HINGLISH,Loans,0.98,synthetic_augmented,0,0,0,0,1,0,HIGH,"please dhyan do, instant personal loan approved without cibil check. pay ₹1,499 processing fee before disbursement."
IND-00173,Bahut zaroori hai: Your FASTag will be blocked tonight. Recharge ₹500 immediately through this link.,scam,FASTAG_SCAM,HIGH,KYC/recharge/blacklist threat plus payment/link,PAY_OR_UPDATE,HINDI_ROMAN,Transport,0.95,public_dataset_derived,0,0,0,0,1,0,CRITICAL,bahut zaroori hai: your fastag will be blocked tonight. recharge ₹500 immediately through this link.
IND-00422,"Turant check karein: Supreme Court cyber team here. You are under digital arrest due to money laundering. Transfer ₹50,000 for verification.",scam,DIGITAL_ARREST,CRITICAL,Authority impersonation; intimidation; payment demand,PAY_OR_TRANSFER,HINDI_ROMAN,Law enforcement,0.97,public_dataset_derived,0,0,0,0,1,1,HIGH,"turant check karein: supreme court cyber team here. you are under digital arrest due to money laundering. transfer ₹50,000 for verification."
IND-01988,Delivery attempt was unsuccessful. You can reschedule through the official courier website or app. Please verify through the official app.,legit,NONE,LOW,Normal transactional/personal communication; no malicious request,NONE,ENGLISH,Courier,0.94,public_dataset_derived,0,0,0,0,0,0,LOW,delivery attempt was unsuccessful. you can reschedule through the official courier website or app. please verify through the official app.
IND-00654,"Bhai, Income Tax refund of ₹18,500 is pending. Confirm PAN, bank details and OTP at http://tax-refund.example.",scam,TAX_REFUND_SCAM,HIGH,Fake refund plus PAN/bank/OTP request,SHARE_DETAILS,HINGLISH,Tax,0.97,public_dataset_derived,1,0,1,0,1,1,HIGH,"bhai, income tax refund of ₹18,500 is pending. confirm pan, bank details and otp at URLTOKEN"
IND-00361,"Sir, Dear customer, your KYC has failed. Update it immediately through http://verify-kyc.example or your account will be suspended.",scam,KYC_FRAUD,HIGH,OTP request; KYC/account threat; urgency,SHARE_OTP,HINGLISH,KYC / Banking,0.9,public_dataset_derived,1,0,0,0,0,1,HIGH,"sir, dear customer, your kyc has failed. update it immediately through URLTOKEN or your account will be suspended."
IND-00124,Bahut zaroori hai: Congratulations! Your mobile number won ₹10 lakh. Send ₹499 processing fee to claim the amount.,scam,LOTTERY_SCAM,HIGH,Prize claim requires fee/payment,PAY_FEE,HINDI_ROMAN,Lottery,0.88,synthetic_augmented,0,0,0,0,1,0,CRITICAL,bahut zaroori hai: congratulations! your mobile number won ₹10 lakh. send ₹499 processing fee to claim the amount.
IND-04654,Guys please forward: UPI PIN is required to receive money. Share your PIN with the sender.,misinformation,NONE,MEDIUM,Unverified or misleading claim; forwarding pressure or implausible assertion,VERIFY_SOURCE,HINGLISH,MISINFORMATION,0.9,synthetic_augmented,0,0,0,1,0,0,HIGH,guys please forward: upi pin is required to receive money. share your pin with the sender.
IND-01325,"Sir, Click http://secure-login.example to prevent your WhatsApp account from being disabled.",scam,PHISHING,HIGH,Suspicious link requesting credentials/payment,CLICK_LINK,HINGLISH,Phishing,0.98,synthetic_augmented,1,0,0,0,0,0,HIGH,"sir, click URLTOKEN to prevent your whatsapp account from being disabled."
